Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),num of process,CI_flux (kW/m2),CI_en (kW),From source
A_1.1.1,100.00651422118632,100.00651422118632,0.0,0.0,49.819989,135.642370466,-,0.32092089688328906,0.02971565217140238,tracer
A_1.1.2,99.99953812044491,99.99953812044491,0.0,0.0,186.389957,469.266962,-,0.08045733043720178,0.015489594749259655,tracer
A_1.1.3,100.00102182309877,100.00102182309877,0.0,0.0,407.749151,927.575094867,-,0.03578064185809154,0.010678714140314169,tracer
A_1.2.1,100.0031821844084,99.99049898942435,0.012683194984343048,0.0,92.306178,188.417522466,-,0.15941948462332342,0.022597958508608837,tracer
A_1.2.2,99.99869488310185,91.10546836352923,8.89322651957221,0.0,355.271212,638.309378366,-,0.04007250659497731,0.011383007405446958,tracer
A_1.2.3,100.00197589552187,66.83932932409687,33.16264657142507,0.0,801.424014,958.5234893,-,0.017824298967602212,0.007738792467635507,tracer
A_2.1,100.00314048453737,100.00314048453737,0.0,0.0,187.071847,482.329559235,-,0.08049894749953655,0.015701146727344524,tracer
A_2.2,100.00385605082161,91.10864786548352,8.895208185338504,0.0,358.906586,666.544614967,-,0.039822694799737185,0.01151350643927533,tracer
A_2.3.1,100.00506859237488,99.36431778020334,0.6407508121712442,0.0,213.98654,538.401006635,-,0.06847462581407943,0.01457780839385404,tracer
A_2.3.2,100.00208055210426,98.55806826962278,1.444012282481729,0.0,214.703541,471.831568583,-,0.06756788896436643,0.014713179591412348,tracer
A_2.3.3,99.9865993494864,97.92100033279506,2.0655990166915275,0.0,218.431373,466.307431249,-,0.06684554410814433,0.014888567235800988,tracer
A_3.1,100.0027146872064,83.93484034009992,16.06787434710562,0.0,492.876034,820.307662217,-,0.029075249027625573,0.009671469667513147,tracer
A_3.2,99.99719894915518,83.29880763858456,16.698391310570702,0.0,483.686297,788.717145248,-,0.02936089860544275,0.009798268054903013,tracer
