Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
A_1.1.1,0,0,0,0,0,0,0,0,0,solarpilot
A_1.1.2,0,0,0,0,0,0,0,0,0,solarpilot
A_1.1.3,0,0,0,0,0,0,0,0,0,solarpilot
A_1.2.1,100,100,0,0,-,0.003433,-,-,-,solarpilot
A_1.2.2,100,85.8734,14.1266,0,-,0.00345,-,-,-,solarpilot
A_1.2.3,100,61.4262,38.5738,0,-,0.003267,-,-,-,solarpilot
A_2.1,100,76.1689,23.8311,0,-,0.004067,-,-,-,solarpilot
A_2.2,100,76.1689,23.8311,0,-,0.003733,-,-,-,solarpilot
A_2.3.1,100,76.1689,23.8311,0,-,0.003783,-,-,-,solarpilot
A_2.3.2,100,76.1689,23.8311,0,-,0.0036,-,-,-,solarpilot
A_2.3.3,100,76.1689,23.8311,0,-,0.003517,-,-,-,solarpilot
A_3.1,100,85.8734,14.1266,0,-,0.004167,-,-,-,solarpilot
A_3.2,100,85.8734,14.1266,0,-,0.003833,-,-,-,solarpilot
